1girl,0,5975111,"1girls,sole-female"
highres,5,5214517,"high-res,high-resolution,hires"
solo,0,4974437,"female-solo,solo-female"
long-hair,0,4323137,"/lh,longhair"
breasts,0,3418210,"/b,boobs,breast,breats,oppai,tits"
looking-at-viewer,0,3293425,"/lav,/pec,pov-eye-contact"
commentary-request,5,3283984,/com
blush,0,2926625,"blushing,flush,flushed"
smile,0,2855136,":),:},smiling"
open-mouth,0,2349293,mouth-open
short-hair,0,2248879,"short-hair,shorthair"
simple-background,0,1805467,"/sbg,/simplebg"
shirt,0,1800467,"shirt-only,shirts"
absurdres,5,1765847,"insaneres,very-high-resolution"
blue-eyes,0,1752916,"blueeyes,light-blue-eyes"
large-breasts,0,1569951,"big-breasts,large-boobs,large-breast,large-tits,/lb"
long-sleeves,0,1555931,"long-sleeve,/lsleeves"
skirt,0,1549133,
blonde-hair,0,1528936,"blond,blonde,/blondeh,blondehair,blond-hair,gold-hair,yellow-hair"
multiple-girls,0,1525123,/ngirls
black-hair,0,1494055,"/blackh,black-hair,blackhair,dark-hair"
white-background,0,1484090,"/wbg,/whitebg"
brown-hair,0,1479346,"/brownh,brown-hair,brownhair,brunette,chocolate-hair"
hair-ornament,0,1410349,"hair-accessories,hair-accessory,hair-decs,hair-ornaments,/hornament"
1boy,0,1393979,"1boys,sole-male"
commentary,5,1356293,commentaries
gloves,0,1344358,glove
holding,0,1341535,"hold,holding-object"
dress,0,1276669,
red-eyes,0,1267681,"red-eye,redeyes"
hat,0,1199523,
bad-id,5,1182355,bad-skeb-id
bow,0,1169002,bows
animal-ears,0,1162002,"kemonomimi,pokemon-ears"
original,3,1161814,"/o,original-character"
thighhighs,0,1161670,"naked-thighhighs,nude-thighhighs,stocking,stockings,/t,thighhgihs,thighhigh,thigh-highs,thighhighs-only,thighhigs,thighighs"
closed-mouth,0,1156327,
hair-between-eyes,0,1155037,bangs-between-eyes
navel,0,1146506,"belly-button,bellybutton"
ribbon,0,1081511,ribbons
jewelry,0,1055380,"jewelery,jewellery"
2girls,0,1015653,"2girl,2-girls"
cleavage,0,996951,"clevage,overboob"
bare-shoulders,0,969141,"bare-shoulder,bareshoulders"
very-long-hair,0,945090,"hair-past-waist,/vlh"
sitting,0,934159,"sit,sitting-down"
bad-pixiv-id,5,931700,
jacket,0,924679,
